gene_id	symbol	description	locus	human_gene_id	human_gene_name
LOC100686271	LOC100686271	paired immunoglobulin-like type 2 receptor beta	6:9398709-9419458	<none>	<none>
NLRC3	NLRC3	NLR family CARD domain-containing protein 3	6:37969988-38010066	197358	NLRC3
LOC612173	LOC612173	uncharacterized gene	26:25979457-25992837	<none>	<none>
LOC100687459	LOC100687459	GTPase IMAP family member 5	16:15613881-15622077	<none>	<none>
PPEF2	PPEF2	serine/threonine-protein phosphatase with EF-hands 2	32:39723367-39747609	5470	PPEF2
CPA3	CPA3	mast cell carboxypeptidase A	23:44237426-44266751	1359	CPA3
DOK5	DOK5	docking protein 5	24:40930261-41031259	55816	DOK5
LOC119869019	LOC119869019	uncharacterized gene	8:73397384-73404411	<none>	<none>
RGS6	RGS6	regulator of G-protein signaling 6	8:45692998-46272644	9628	RGS6
LOC111090219	LOC111090219	uncharacterized LOC111090219	16:6397662-6400619	<none>	<none>
RINL	RINL	ras and Rab interactor-like protein	1:115021748-115028443	126432	RINL
ID4	ID4	DNA-binding protein inhibitor ID-4	35:19757627-19760617	3400	ID4
EBI3	EBI3	interleukin-27 subunit beta	20:55782118-55789767	10148	EBI3
CAECAM1	CAECAM1	carcinoembryonic antigen-related cell adhesion molecule 25	1:112468676-112479570	<none>	<none>
LIN7A	LIN7A	protein lin-7 homolog A	15:23343341-23467440	8825	LIN7A
LOC119876551	LOC119876551	uncharacterized gene	8:75230966-75231579	<none>	<none>
BMPR1A	BMPR1A	bone morphogenetic protein receptor type 1A	4:35397828-35459419	657	BMPR1A
MIR223	MIR223	microRNA mir-223	X:51030133-51030235	<none>	<none>
FLNC	FLNC	filamin-C	14:7651043-7677902	2318	FLNC
EBF4	EBF4	transcription factor COE4	24:18923257-18981780	57593	EBF4
LOC119866416	LOC119866416	cationic amino acid transporter 3-like	27:20014581-20029106	<none>	<none>
LOC102154760	LOC102154760	uncharacterized gene	8:73258712-73265474	<none>	<none>
RRAD	RRAD	GTP-binding protein RAD	5:82978172-82981138	6236	RRAD
SEMA3B	SEMA3B	semaphorin-3B	20:39460589-39474738	7869	SEMA3B
PROSER2	PROSER2	proline and serine-rich protein 2	2:23566158-23606397	254427	PROSER2
ATP6V0A4	ATP6V0A4	V-type proton ATPase 116 kDa subunit a	16:9650052-9734848	50617	ATP6V0A4
PROCR	PROCR	protein C receptor	24:24697534-24701002	10544	PROCR
ADAMTS12	ADAMTS12	A disintegrin and metalloproteinase with thrombospondin motifs 12	4:74798493-75101600	81792	ADAMTS12
CCN1	CCN1	CCN family member 1	6:62986500-62989314	3491	CCN1
RYR2	RYR2	ryanodine receptor 2	4:2743722-3470663	6262	RYR2
LOC100686711	LOC100686711	CMRF35-like molecule 7	9:6793094-6802969	<none>	<none>
IL2RB	IL2RB	interleukin 2 receptor subunit beta	10:28371136-28389104	3560	IL2RB
LOC111097466	LOC111097466	"uncharacterized LOC111097466, transcript variant X1"	9:47770251-47775889	<none>	<none>
KYNU	KYNU	kynureninase	19:46664690-46794435	8942	KYNU
TMTC1	TMTC1	protein O-mannosyl-transferase TMTC1	27:28042107-28312102	83857	TMTC1
NLRP3	NLRP3	"NACHT, LRR and PYD domains-containing protein 3"	8:337026-389302	114548	NLRP3
XAF1	XAF1	XIAP-associated factor 1	5:30825789-30836143	54739	XAF1
NECTIN3	NECTIN3	nectin-3	33:16516552-16812105	25945	NECTIN3
LOC119869021	LOC119869021	uncharacterized gene	8:73362232-73364181	<none>	<none>
MIR451	MIR451	microRNA mir-451	9:43002786-43002854	<none>	<none>
LOC119865712	LOC119865712	"uncharacterized LOC119865712, transcript variant X7"	24:46268830-46288444	<none>	<none>
LOC119869140	LOC119869140	uncharacterized gene	26:26415514-26430899	<none>	<none>
IRX5	IRX5	iroquois-class homeodomain protein IRX-5	2:60245608-60248977	10265	IRX5
THBS4	THBS4	thrombospondin-4	3:27060242-27102310	7060	THBS4
FAT4	FAT4	protocadherin Fat 4	19:15965180-16139594	79633	FAT4
BEND4	BEND4	BEN domain-containing protein 4	13:39913842-39949072	389206	BEND4
GIMAP8	GIMAP8	GTPase IMAP family member 8	16:15472338-15491048	155038	GIMAP8
OLFML2A	OLFML2A	olfactomedin-like protein 2A	9:58277069-58307545	169611	OLFML2A
CSF3R	CSF3R	granulocyte colony-stimulating factor receptor	15:5890652-5904148	1441	CSF3R
P2RY13	P2RY13	P2Y purinoceptor 13	23:46443564-46446356	53829	P2RY13
FUT7	FUT7	fucosyltransferase 7	9:48607910-48608977	2529	FUT7
MMP2	MMP2	72 kDa type IV collagenase	2:59747357-59772363	4313	MMP2
SLC6A17	SLC6A17	sodium-dependent neutral amino acid transporter SLC6A17	6:42231137-42280580	388662	SLC6A17
LOC111097055	LOC111097055	uncharacterized LOC111097055	1:97251781-97254236	<none>	<none>
PRSS23	PRSS23	serine protease 23	21:12889347-12900934	11098	PRSS23
LRRC25	LRRC25	leucine-rich repeat-containing protein 25	20:45035385-45039732	126364	LRRC25
GLIS3	GLIS3	zinc finger protein GLIS3	1:92951661-93498143	169792	GLIS3
HAS2	HAS2	hyaluronan synthase 2	13:20720804-20770669	3037	HAS2
LOC119878461	LOC119878461	uncharacterized gene	0:119995-120640	<none>	<none>
ANO4	ANO4	anoctamin-4	15:40036702-40440957	121601	ANO4
EFNA5	EFNA5	ephrin-A5	3:4274587-4554692	1946	EFNA5
LOC119869016	LOC119869016	uncharacterized gene	8:74203284-74203954	<none>	<none>
TSHB	TSHB	thyroid stimulating hormone subunit beta	17:53186781-53212984	7252	TSHB
KRT23	KRT23	keratin 23	9:21701468-21717607	25984	KRT23
SEMA3F	SEMA3F	semaphorin-3F	20:39543271-39573112	6405	SEMA3F
CCR3	CCR3	C-C motif chemokine receptor 3	20:42789121-42790200	1232	CCR3
GIMAP7	GIMAP7	GTPase IMAP family member 7	16:15537724-15546779	168537	GIMAP7
KCNA3	KCNA3	potassium voltage-gated channel subfamily A member 3	6:41801395-41821138	3738	KCNA3
LOC111092557	LOC111092557	"uncharacterized LOC111092557, transcript variant X10"	26:38891381-38898012	<none>	<none>
IRF4	IRF4	interferon regulatory factor 4	35:2054228-2070812	3662	IRF4
SLC4A1	SLC4A1	solute carrier family 4 member 1	9:19021401-19032836	6521	SLC4A1
ADORA3	ADORA3	adenosine A3 receptor	17:64658761-64662034	140	ADORA3
LOC102151559	LOC102151559	uncharacterized gene	9:27635830-27637454	<none>	<none>
SPN	SPN	leukosialin	6:17935701-17941231	6693	SPN
LOC119868972	LOC119868972	signal-regulatory protein beta-1-like	24:19711204-19737585	<none>	<none>
ALOX12	ALOX12	polyunsaturated fatty acid lipoxygenase ALOX12	5:32232935-32244895	<none>	<none>
FPR2	FPR2	N-formyl peptide receptor 2	1:105961120-105971680	2358	FPR2
CD5L	CD5L	CD5 molecule like	7:40467651-40477985	922	CD5L
SEPTIN1	SEPTIN1	septin-1	6:17877697-17881714	1731	SEPTIN1
LOC119878923	LOC119878923	uncharacterized gene	0:29672-30298	<none>	<none>
HAPLN1	HAPLN1	hyaluronan and proteoglycan link protein 1	3:24115889-24192354	1404	HAPLN1
PKD2L1	PKD2L1	polycystic kidney disease 2-like 1 protein	28:13233508-13263795	9033	PKD2L1
FOSL1	FOSL1	fos-related antigen 1	18:51868548-51876244	8061	FOSL1
LRRC17	LRRC17	leucine-rich repeat-containing protein 17	18:17382332-17411488	10234	LRRC17
PCYT1B	PCYT1B	choline-phosphate cytidylyltransferase B	X:20159787-20291298	9468	PCYT1B
PRXL2B	PRXL2B	prostamide/prostaglandin F synthase	5:57907472-57911821	127281	PRXL2B
DACH1	DACH1	dachshund homolog 1	22:25802120-26225501	1602	DACH1
B3GNT9	B3GNT9	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"	5:82798151-82801155	84752	B3GNT9
LOC106558008	LOC106558008	uncharacterized LOC106558008	29:28697502-28704647	<none>	<none>
HK3	HK3	hexokinase-3	4:37360223-37385703	3101	HK3
ARSJ	ARSJ	arylsulfatase family member J	32:6172634-6252363	79642	ARSJ
CD6	CD6	T-cell differentiation antigen CD6	18:55905105-55944991	923	CD6
LAMP3	LAMP3	lysosome-associated membrane glycoprotein 3	34:16262916-16298199	27074	LAMP3
FAM110C	FAM110C	protein FAM110C	17:92299-100072	642273	FAM110C
FCRLA	FCRLA	Fc receptor-like A	38:21640013-21646699	84824	FCRLA
PCED1B	PCED1B	PC-esterase domain-containing protein 1B	27:39171283-39186314	91523	PCED1B
LOC100855449	LOC100855449	CMRF35-like molecule 7	9:6756581-6761445	<none>	<none>
PRELP	PRELP	prolargin	38:795591-809246	5549	PRELP
SEMA3C	SEMA3C	semaphorin-3C	18:20737406-20919731	10512	SEMA3C
CHRDL1	CHRDL1	chordin-like protein 1	X:84466847-84587260	91851	CHRDL1
MOGAT1	MOGAT1	2-acylglycerol O-acyltransferase 1	37:28617008-28654194	116255	MOGAT1
MPEG1	MPEG1	macrophage-expressed gene 1 protein	18:37973828-37978258	219972	MPEG1
LOC119877844	LOC119877844	leucine-rich repeat-containing protein 15	33:32050342-32063724	<none>	<none>
POPDC3	POPDC3	popeye domain-containing protein 3	12:62923296-62941390	64208	POPDC3
LOC100685620	LOC100685620	alpha-1-acid glycoprotein 1	11:68966759-68969484	<none>	<none>
DIRAS2	DIRAS2	GTP-binding protein Di-Ras2	1:96768562-96793678	54769	DIRAS2
FAM13C	FAM13C	protein FAM13C	4:12130278-12277888	220965	FAM13C
LOC607343	LOC607343	uncharacterized gene	8:75042336-75042922	<none>	<none>
SLFN14	SLFN14	protein SLFN14	9:38059358-38079438	342618	SLFN14
LOC111097181	LOC111097181	uncharacterized gene	8:73751806-73752394	<none>	<none>
LOC119867737	LOC119867737	tripartite motif-containing protein 10-like	35:27843558-27850481	<none>	<none>
GASK1B	GASK1B	Golgi-associated kinase 1B	15:55732909-55778982	51313	GASK1B
MIR142	MIR142	microRNA mir-142	9:32947095-32947157	<none>	<none>
FAIM2	FAIM2	protein lifeguard 2	27:41821388-41854554	23017	FAIM2
MYOCD	MYOCD	myocardin	5:36843479-36993391	93649	MYOCD
LOC111096650	LOC111096650	uncharacterized LOC111096650	7:22625951-22627584	<none>	<none>
LOC119866298	LOC119866298	cationic amino acid transporter 3-like	27:45180056-45183493	<none>	<none>
RS1	RS1	retinoschisin	X:14808349-14821138	6247	RS1
KIT	KIT	"KIT proto-oncogene, receptor tyrosine kinase"	13:47870472-47952050	3815	KIT
LOC119871549	LOC119871549	"uncharacterized LOC119871549, transcript variant X4"	4:67773336-67780105	<none>	<none>
C7H1orf116	C7H1orf116	specifically androgen-regulated gene protein	7:5924887-5936953	79098	C1orf116
GH1	GH1	growth hormone	9:15092601-15094459	<none>	<none>
PLET1	PLET1	placenta-expressed transcript 1 protein	5:20918126-20930544	349633	PLET1
SLC26A8	SLC26A8	testis anion transporter 1	12:5243004-5327100	116369	SLC26A8
FGR	FGR	tyrosine-protein kinase Fgr	2:72066735-72088165	2268	FGR
THBS2	THBS2	thrombospondin 2	1:56956445-56983636	7058	THBS2
MXRA5	MXRA5	matrix-remodeling-associated protein 5	X:1720080-1746560	25878	MXRA5
LOC100688849	LOC100688849	"uncharacterized LOC100688849, transcript variant X11"	1:113237289-113310003	<none>	<none>
GIMAP2	GIMAP2	GTPase IMAP family member 2	16:15593970-15598383	26157	GIMAP2
LOC119876518	LOC119876518	uncharacterized gene	8:74393692-74394306	<none>	<none>
LIPC	LIPC	"lipase C, hepatic type"	30:23750266-23901905	3990	LIPC
LOC119873589	LOC119873589	"uncharacterized LOC119873589, transcript variant X19"	10:11675194-11698000	<none>	<none>
MSX1	MSX1	homeobox protein MSX-1	3:70808811-70812856	4487	MSX1
PECAM1	PECAM1	platelet endothelial cell adhesion molecule	9:14705590-14758833	5175	PECAM1
ABI3	ABI3	ABI gene family member 3	9:25326932-25337496	51225	ABI3
LAPTM5	LAPTM5	lysosomal-associated transmembrane protein 5	2:69580796-69607573	7805	LAPTM5
LOC106559619	LOC106559619	uncharacterized gene	1:103703001-103719216	<none>	<none>
IL1RN	IL1RN	interleukin 1 receptor antagonist	17:37426795-37431843	3557	IL1RN
MYOM2	MYOM2	myomesin-2	16:60079361-60129897	9172	MYOM2
LOC106559361	LOC106559361	"uncharacterized LOC106559361, transcript variant X5"	1:73210987-73252010	<none>	<none>
TNN	TNN	tenascin-N	7:24142115-24205062	63923	TNN
LOC106558781	LOC106558781	uncharacterized LOC106558781	5:6030379-6033669	<none>	<none>
CDC42EP5	CDC42EP5	cdc42 effector protein 5	1:103595596-103600013	148170	CDC42EP5
COL3A1	COL3A1	collagen alpha-1(III) chain	36:30884313-30921873	1281	COL3A1
LOC490269	LOC490269	complement receptor type 1	7:6212125-6314023	<none>	<none>
AOX2	AOX2	aldehyde oxidase 2	37:9772362-9850965	<none>	<none>
PRRX1	PRRX1	paired mesoderm homeobox protein 1	7:27988098-28061291	5396	PRRX1
PRR16	PRR16	protein Largen	11:10267516-10466145	51334	PRR16
ITGAM	ITGAM	integrin alpha-M	6:17102490-17158038	3684	ITGAM
CLEC2D	CLEC2D	C-type lectin domain family 2 member D	27:9831139-9872121	<none>	<none>
RECK	RECK	reversion inducing cysteine rich protein with kazal motifs	11:52852123-52927620	8434	RECK
LOX	LOX	protein-lysine 6-oxidase	11:11920314-11934905	4015	LOX
ROBO1	ROBO1	roundabout homolog 1	31:7883361-9008850	6091	ROBO1
SLC17A8	SLC17A8	vesicular glutamate transporter 3	15:39733977-39790150	246213	SLC17A8
SSPN	SSPN	sarcospan	27:25157834-25194924	8082	SSPN
GPR183	GPR183	G-protein coupled receptor 183	22:49495775-49510831	1880	GPR183
LOC119863891	LOC119863891	C-X-C chemokine receptor type 4	19:40352845-40356556	7852	CXCR4
SECTM1	SECTM1	secreted and transmembrane protein 1	9:854496-867758	6398	SECTM1
PHOSPHO1	PHOSPHO1	phosphoethanolamine/phosphocholine phosphatase	9:25338673-25344838	162466	PHOSPHO1
PAX1	PAX1	paired box protein Pax-1	24:2124459-2134423	5075	PAX1
ANXA8L1	ANXA8L1	annexin A8	4:35743797-35758818	<none>	<none>
LOC609523	LOC609523	signal-regulatory protein beta-1	24:20029097-20048712	<none>	<none>
LOC111091730	LOC111091730	"uncharacterized LOC111091730, transcript variant X2"	22:61144074-61152477	<none>	<none>
LY6G6C	LY6G6C	lymphocyte antigen 6 complex locus protein G6c	12:1337345-1341201	80740	LY6G6C
LMLN2	LMLN2	leishmanolysin-like peptidase 2	8:3531548-3537188	100128908	CIROP
LOC102153088	LOC102153088	uncharacterized LOC102153088	36:17574966-17602244	<none>	<none>
TESPA1	TESPA1	protein TESPA1	27:46190588-46225895	9840	TESPA1
GFPT2	GFPT2	glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	11:1640780-1682142	9945	GFPT2
MID1	MID1	E3 ubiquitin-protein ligase Midline-1	X:7049392-7406171	4281	MID1
SLC27A6	SLC27A6	long-chain fatty acid transport protein 6	11:17820174-17889446	28965	SLC27A6
CD3D	CD3D	T-cell surface glycoprotein CD3 delta chain	5:15417998-15421934	915	CD3D
MYB	MYB	transcriptional activator Myb	1:28141120-28224856	4602	MYB
TMEM178A	TMEM178A	transmembrane protein 178A	17:31797465-31847843	130733	TMEM178A
CARD11	CARD11	caspase recruitment domain-containing protein 11	6:14347905-14474301	84433	CARD11
IL15	IL15	interleukin 15	19:2058426-2083219	3600	IL15
LOC119873404	LOC119873404	CMRF35-like molecule 7	9:6731339-6738830	<none>	<none>
LOC119864753	LOC119864753	"uncharacterized LOC119864753, transcript variant X2"	20:52590501-52595167	<none>	<none>
ROBO3	ROBO3	roundabout homolog 3	5:9582695-9587687	64221	ROBO3
HSH2D	HSH2D	hematopoietic SH2 domain-containing protein	20:46730281-46740888	84941	HSH2D
LOC119867601	LOC119867601	"uncharacterized LOC119867601, transcript variant X4"	35:4417963-4419238	<none>	<none>
GALNT15	GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	23:27068117-27116622	117248	GALNT15
CBLC	CBLC	E3 ubiquitin-protein ligase CBL-C	1:111299843-111316680	23624	CBLC
LOC100683513	LOC100683513	uncharacterized gene	12:10125377-10127170	<none>	<none>
PIK3AP1	PIK3AP1	phosphoinositide 3-kinase adapter protein 1	28:10160083-10279039	118788	PIK3AP1
BDKRB2	BDKRB2	bradykinin receptor B2	8:65304383-65332835	624	BDKRB2
RSAD2	RSAD2	radical S-adenosyl methionine domain-containing protein 2	17:4500286-4520826	91543	RSAD2
CD84	CD84	SLAM family member 5	38:22530871-22554757	8832	CD84
LDB2	LDB2	LIM domain-binding protein 2	3:64040117-64415250	9079	LDB2
NGF	NGF	nerve growth factor	17:53428944-53429721	4803	NGF
LOC119869674	LOC119869674	small nucleolar RNA U13	16:31901971-31902073	<none>	<none>
LOC609053	LOC609053	uncharacterized gene	16:6549524-6555282	<none>	<none>
TPBG	TPBG	trophoblast glycoprotein	12:43083154-43086460	7162	TPBG
TRAT1	TRAT1	T-cell receptor-associated transmembrane adapter 1	33:14547404-14584144	50852	TRAT1
TBX18	TBX18	T-box transcription factor TBX18	12:45119019-45147578	9096	TBX18
LOXL4	LOXL4	lysyl oxidase homolog 4	28:11586563-11606651	84171	LOXL4
TLX2	TLX2	T-cell leukemia homeobox protein 2	17:49126036-49128273	3196	TLX2
LOC119864213	LOC119864213	"uncharacterized LOC119864213, transcript variant X1"	18:34263296-34271231	<none>	<none>
PIK3R5	PIK3R5	phosphoinositide 3-kinase regulatory subunit 5	5:33743236-33809805	23533	PIK3R5
LOC481634	LOC481634	bile acid-CoA:amino acid N-acyltransferase	11:58441691-58459930	570	BAAT
CD209	CD209	CD209 molecule	20:52925204-52928055	<none>	<none>
HTRA1	HTRA1	serine protease HTRA1	28:32398590-32451692	5654	HTRA1
FYB1	FYB1	FYN-binding protein 1	4:70643055-70793407	2533	FYB1
TMEM59L	TMEM59L	transmembrane protein 59-like	20:44859226-44865046	25789	TMEM59L
SLC7A8	SLC7A8	solute carrier family 7 member 8	8:3552835-3602556	23428	SLC7A8
GRIA3	GRIA3	glutamate receptor 3	X:95485249-95767174	2892	GRIA3
KCNH1	KCNH1	potassium voltage-gated channel subfamily H member 1	7:9110853-9483089	3756	KCNH1
SLC22A1	SLC22A1	solute carrier family 22 member 1	1:49820796-49850348	6580	SLC22A1
KLRD1	KLRD1	killer cell lectin like receptor D1	27:10445018-10450350	3824	KLRD1
BLK	BLK	tyrosine-protein kinase Blk	25:26488713-26563761	640	BLK
NOX4	NOX4	NADPH oxidase 4	21:10699999-10861437	50507	NOX4
CD300A	CD300A	CMRF35-like molecule 8	9:6826376-6852693	11314	CD300A
FCER1G	FCER1G	Fc fragment of IgE receptor Ig	38:22097280-22100221	2207	FCER1G
LOC119869010	LOC119869010	uncharacterized gene	8:76206642-76207200	<none>	<none>
LOC481728	LOC481728	butyrophilin-like protein 1	12:2209949-2219472	<none>	<none>
LOC608848	LOC608848	T-cell surface glycoprotein CD1a	38:24322256-24325735	<none>	<none>
PTGFR	PTGFR	prostaglandin F receptor	6:68982324-69021011	5737	PTGFR
ZBED2	ZBED2	zinc finger BED domain-containing protein 2	33:16908972-16911385	79413	ZBED2
LOC100687251	LOC100687251	membrane-associated phosphatidylinositol transfer protein 2-like	1:79352097-79354153	<none>	<none>
GPR31	GPR31	"12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor"	1:55526148-55528739	2853	GPR31
SYNC	SYNC	syncoilin	2:68013271-68032174	81493	SYNC
CACNA2D1	CACNA2D1	voltage-dependent calcium channel subunit alpha-2/delta-1	18:21836185-22311929	781	CACNA2D1
TPPP	TPPP	tubulin polymerization-promoting protein	34:11771142-11787387	11076	TPPP
ADAM28	ADAM28	disintegrin and metalloproteinase domain-containing protein 28	25:33261650-33316886	10863	ADAM28
ERMAP	ERMAP	erythroid membrane-associated protein	15:594193-619441	114625	ERMAP
SIX4	SIX4	homeobox protein SIX4	8:36020222-36033117	51804	SIX4
LOC119869014	LOC119869014	uncharacterized gene	8:74403829-74404442	<none>	<none>
EPX	EPX	eosinophil peroxidase	9:32825582-32835659	8288	EPX
DAAM2	DAAM2	disheveled-associated activator of morphogenesis 2	12:8876888-8991550	23500	DAAM2
STAG3	STAG3	cohesin subunit SA-3	6:9272833-9300317	10734	STAG3
SLAMF6	SLAMF6	SLAM family member 6	38:22570244-22597519	114836	SLAMF6
LOC483396	LOC483396	interferon-induced transmembrane protein 1-like	18:25813922-25815016	<none>	<none>
LOC484898	LOC484898	adhesion G protein-coupled receptor E2	20:48273386-48316394	<none>	<none>
MIOX	MIOX	inositol oxygenase	10:17719250-17723642	55586	MIOX
CD27	CD27	CD27 antigen	27:7557635-7560858	939	CD27
ANKRD34C	ANKRD34C	ankyrin repeat domain-containing protein 34C	3:58334577-58349667	390616	ANKRD34C
LOC607405	LOC607405	C-type lectin domain family 10 member A	5:32295410-32300692	<none>	<none>
TCIM	TCIM	transcriptional and immune response regulator	16:25945057-25946525	56892	TCIM
HEY2	HEY2	hairy/enhancer-of-split related with YRPW motif protein 2	1:65207272-65217212	23493	HEY2
BLNK	BLNK	B-cell linker protein	28:9805622-9883362	29760	BLNK
PODNL1	PODNL1	podocan-like protein 1	20:48942095-48947203	79883	PODNL1
DIO3	DIO3	iodothyronine deiodinase 3	8:70104995-70107102	1735	DIO3
TUBB1	TUBB1	tubulin beta-1 chain	24:44507312-44516738	81027	TUBB1
SLAMF1	SLAMF1	signaling lymphocytic activation molecule family member 1	38:22481891-22513458	6504	SLAMF1
DDIT4L	DDIT4L	DNA damage-inducible transcript 4-like protein	32:17814385-17820036	115265	DDIT4L
SPRY4	SPRY4	protein sprouty homolog 4	2:36348824-36362690	81848	SPRY4
LOC111098587	LOC111098587	uncharacterized protein LOC111098587	13:38280988-38284729	<none>	<none>
ARHGEF25	ARHGEF25	rho guanine nucleotide exchange factor 25	10:2041636-2048637	115557	ARHGEF25
